,date,open,high,low,close,volume,money,rsrs_slope,r_squared,standard_score
0,2005-01-04,994.77,994.77,980.66,982.79,741286900.0,4431977418.0,,,
1,2005-01-05,981.58,997.32,979.88,992.56,711910900.0,4529208214.0,,,
2,2005-01-06,993.33,993.79,980.33,983.17,628802900.0,3921015420.0,,,
3,2005-01-07,983.05,995.71,979.81,983.96,729869400.0,4737469399.0,,,
4,2005-01-10,983.76,993.96,979.79,993.88,579169800.0,3762932890.0,,,
5,2005-01-11,994.19,999.55,991.09,997.14,584908000.0,3704076709.0,,,
6,2005-01-12,996.65,996.98,989.26,996.75,501452500.0,3093299668.0,,,
7,2005-01-13,996.08,999.47,992.7,996.88,604406600.0,3842173302.0,,,
8,2005-01-14,996.62,1006.46,987.23,988.31,729784200.0,4162921211.0,,,
9,2005-01-17,979.11,981.53,965.08,967.45,728818900.0,4249807837.0,,,
10,2005-01-18,967.37,974.87,960.29,974.69,731184800.0,4117944082.0,,,
11,2005-01-19,974.33,974.33,965.26,967.21,633809100.0,3427951271.0,,,
12,2005-01-20,963.21,963.21,952.23,956.25,772710600.0,4399350604.0,,,
13,2005-01-21,954.46,984.27,943.44,982.6,1445006000.0,8152086067.0,,,
14,2005-01-24,1001.85,1001.85,986.24,998.13,1435946200.0,8360161498.0,,,
15,2005-01-25,995.64,997.95,985.24,997.78,986252900.0,6157022374.0,,,
16,2005-01-26,995.78,999.47,988.48,989.93,766329000.0,4719440425.0,,,
17,2005-01-27,987.34,987.7,973.77,974.63,694536500.0,4094398877.0,0.6904205948009013,0.7223520012909481,
18,2005-01-28,974.63,975.62,965.21,969.21,574880700.0,3280950331.0,0.7132424657172018,0.724738697300221,
19,2005-01-31,965.79,965.79,953.14,954.88,678870600.0,3863573594.0,0.7520491824766581,0.7590367386385392,
20,2005-02-01,953.33,965.48,952.74,955.95,743306700.0,4275706846.0,0.7820802793693048,0.7805239828395867,
21,2005-02-02,956.7,1006.93,956.7,1006.91,1705733800.0,10202904264.0,0.6675909640784046,0.5418484281580211,
22,2005-02-03,1005.56,1014.19,992.16,993.22,1697454000.0,10057310335.0,0.7194253120467581,0.5768697477546563,
23,2005-02-04,992.25,1021.03,989.94,1016.86,1573621500.0,9549870633.0,0.8029347235214052,0.5892261870377996,
24,2005-02-16,1023.32,1033.25,1018.49,1023.58,1213129300.0,7438168198.0,0.8605707749624703,0.6977156768553013,
25,2005-02-17,1024.43,1024.43,1010.48,1020.61,896829800.0,5513063259.0,0.8858285491189585,0.745020852726305,
26,2005-02-18,1020.12,1021.2,1005.63,1006.06,813993900.0,4817732089.0,0.8850911245381458,0.7632783849317626,
27,2005-02-21,1006.69,1025.66,1006.69,1025.63,988609400.0,6052394872.0,0.8941489243372954,0.7813975690511124,
28,2005-02-22,1026.84,1048.68,1024.53,1046.74,1793784200.0,10922776830.0,0.9255025307015152,0.814353934650737,
29,2005-02-23,1046.81,1049.61,1036.63,1043.94,1869693000.0,11231940742.0,0.9011414464992296,0.8452867522953743,
30,2005-02-24,1042.25,1045.96,1034.73,1045.46,1468178900.0,8993752186.0,0.860472115772912,0.8522483510974326,
31,2005-02-25,1046.27,1059.48,1045.98,1046.76,1817000400.0,11489961151.0,0.9230480546689874,0.8900923240996201,
32,2005-02-28,1046.21,1048.28,1035.04,1039.99,1297104600.0,8190101348.0,0.9176356749221541,0.8975921242642269,
33,2005-03-01,1039.35,1042.74,1031.17,1035.93,996209000.0,6288790666.0,0.905984698901037,0.9011863385319252,
34,2005-03-02,1036.37,1045.76,1021.0,1021.32,1422513600.0,8971307887.0,0.9092373751627574,0.902156716855764,
35,2005-03-03,1019.88,1028.4,1014.75,1027.71,920308600.0,5582811955.0,0.8933456565081782,0.896950274990715,
36,2005-03-04,1027.93,1031.85,1022.18,1023.67,817364100.0,5383868109.0,0.8505148665908244,0.8867867262468756,
37,2005-03-07,1024.48,1031.34,1024.48,1029.87,793295000.0,5316473234.0,0.7683686955689245,0.8539245033277019,
38,2005-03-08,1033.79,1049.29,1032.85,1048.99,1429579400.0,9851274640.0,0.6186761636729669,0.834474144695836,
39,2005-03-09,1051.26,1054.64,1041.98,1046.54,1532748800.0,9877624291.0,0.7764003197343193,0.8647443820181029,
40,2005-03-10,1046.69,1046.69,1019.63,1022.41,1329595300.0,8380547671.0,0.7610941835631196,0.7945840679551454,
41,2005-03-11,1021.08,1028.12,1016.93,1027.43,1147638100.0,7654557046.0,0.8851062001639557,0.7981030312155426,
42,2005-03-14,1027.18,1041.57,1014.93,1031.03,1446608900.0,10229428920.0,0.841300579209343,0.7521245906184385,
43,2005-03-15,1030.86,1030.94,1011.64,1013.52,1200749300.0,8091209214.0,0.8092942824513416,0.7412682191853256,
44,2005-03-16,1011.85,1012.2,995.97,1003.07,1062278300.0,7153745871.0,0.8350862929170016,0.7813245916429193,
45,2005-03-17,1001.97,1004.82,992.12,992.86,996901100.0,6535061285.0,0.9114051185190265,0.829683909814439,
46,2005-03-18,991.89,996.4,975.71,978.67,965206000.0,6314991217.0,0.8995144729259466,0.896830271652173,
47,2005-03-21,977.3,983.18,973.0,981.89,725256500.0,4594519993.0,0.962362086203909,0.9203404247901505,
48,2005-03-22,981.71,982.14,959.56,964.02,1137571700.0,6955307694.0,0.9436276086408921,0.9373629337375946,
49,2005-03-23,962.82,975.36,955.99,959.01,1093005400.0,7092055433.0,0.9453007971662704,0.9459888162043243,
50,2005-03-24,957.43,965.06,948.53,964.8,926071500.0,6446642565.0,0.9609868826558157,0.9557516369147412,
51,2005-03-25,964.25,966.97,959.06,962.96,710732300.0,4258127223.0,0.99712450412713,0.9566202996973692,
52,2005-03-28,961.65,961.65,948.81,960.7,666924600.0,4141656397.0,0.9939779950431277,0.9644827328930549,
53,2005-03-29,960.42,968.12,954.74,955.19,757737900.0,4842151125.0,1.0018419834068608,0.966880028377627,
54,2005-03-30,952.71,952.71,936.38,937.03,895016400.0,5459378777.0,1.0109776951069316,0.9721576852037134,
55,2005-03-31,934.85,942.37,928.34,942.2,785944600.0,4555322825.0,1.0343302729912596,0.9797387491758651,
56,2005-04-01,941.43,989.9,937.55,978.15,1634750500.0,10109402829.0,0.9657937640328174,0.9158861495185635,
57,2005-04-04,968.49,974.06,956.13,962.17,1143509300.0,7296500041.0,0.9833179383651793,0.8987177860780664,
58,2005-04-05,960.54,967.75,953.59,955.6,953453700.0,6069513997.0,0.9521980233216639,0.8818797200145372,
59,2005-04-06,955.6,977.86,948.95,973.67,1428242100.0,9727656052.0,0.9603691578802449,0.8567745598595526,
60,2005-04-07,975.97,1000.27,974.31,984.73,2075421200.0,13260560596.0,0.9084072332945933,0.8082419598408875,
61,2005-04-08,984.67,1003.7,979.53,1003.45,1476252600.0,9151349808.0,0.8880044792254402,0.7423477137718506,
62,2005-04-11,1003.88,1008.74,992.77,995.42,1593606600.0,10436232248.0,0.8838029148965734,0.7332080634959699,
63,2005-04-12,993.71,993.71,978.2,978.7,1022619300.0,6479563495.0,0.8962412923057406,0.7122992227271928,
64,2005-04-13,987.95,1006.5,987.95,1000.9,1607168700.0,10029602129.0,0.8985588765679544,0.7351061380684918,
65,2005-04-14,1004.64,1006.42,985.58,986.98,1294571000.0,7813424514.0,0.9327717519752431,0.7714578047751468,
66,2005-04-15,982.61,982.61,971.93,974.08,1040895500.0,6541675456.0,0.9183889023235668,0.7633326369080319,
67,2005-04-18,970.91,970.91,958.65,963.77,859840000.0,5329138712.0,0.9211438526512842,0.7584231754177478,
68,2005-04-19,962.92,968.87,957.91,965.89,921262300.0,5768907755.0,0.9190586900647657,0.7468283895394379,
69,2005-04-20,964.15,964.15,946.2,950.87,885070500.0,5300003714.0,0.9200011093632262,0.7672543056345151,
70,2005-04-21,948.86,955.55,938.6,943.98,994614500.0,6140646108.0,0.9202258510250333,0.781088975033432,
71,2005-04-22,942.91,947.91,934.96,939.1,1069188400.0,6373550345.0,0.9448379040134373,0.801585990618452,
72,2005-04-25,935.99,935.99,920.16,930.07,1147047800.0,6667303132.0,0.959841761004347,0.8251139067258053,
73,2005-04-26,928.43,939.7,924.66,937.08,1169047100.0,7029373085.0,0.9591946829489981,0.8299369557964806,
74,2005-04-27,938.57,938.91,925.9,926.6,1078061100.0,6432845906.0,1.0583894678604842,0.9606164179063353,
75,2005-04-28,923.53,945.5,914.83,942.07,1434348600.0,8315813742.0,0.997286112400928,0.9451460401909496,
76,2005-04-29,940.81,942.45,929.81,932.4,1123541900.0,6853192443.0,1.008372679850406,0.9480737211601247,
77,2005-05-09,934.65,937.39,909.17,909.17,852911500.0,4889696446.0,0.9755416174717048,0.9538887833552812,
78,2005-05-10,905.54,913.39,892.31,913.08,1049433100.0,5960910722.0,0.953590568050525,0.9650341371721674,
79,2005-05-11,911.84,917.22,900.44,901.85,904204700.0,5128333208.0,0.9424059823055023,0.9702885137817205,
80,2005-05-12,899.97,900.06,883.51,885.82,1022872000.0,6107327165.0,0.9483800548330988,0.970682525402749,
81,2005-05-13,883.51,898.51,875.58,887.54,1124490600.0,6228419643.0,0.9384807707108668,0.9720458241104222,
82,2005-05-16,885.39,885.39,869.33,875.27,822428800.0,4630088469.0,0.938027888945715,0.971682224479114,
83,2005-05-17,873.08,888.28,868.21,881.46,877227300.0,4635198616.0,0.9106138709605329,0.9723667630899886,
84,2005-05-18,881.14,890.4,871.82,883.2,787861000.0,4615409280.0,0.9246848171866977,0.9707813966618865,
85,2005-05-19,882.84,888.02,871.29,884.17,814958300.0,4263472583.0,0.9416077041987806,0.9695311892779596,
86,2005-05-20,883.51,891.02,879.18,882.76,722667600.0,3835476288.0,0.9742171582965348,0.9645234818363699,
87,2005-05-23,880.28,880.28,862.1,863.34,727979500.0,3725791093.0,0.9725921630188076,0.9628263538568737,
88,2005-05-24,861.2,871.77,855.59,868.46,920692900.0,4777971875.0,0.9821828718475195,0.9624386938765418,
89,2005-05-25,867.66,876.31,861.66,868.45,723855600.0,3742173189.0,1.0102166526539462,0.9623761491302107,
90,2005-05-26,867.76,872.84,854.96,857.33,662278600.0,3470051082.0,1.0176696972192587,0.9636821552992808,
91,2005-05-27,855.6,864.96,848.4,849.51,774998300.0,4240678764.0,1.0362777650241222,0.9651559894808569,
92,2005-05-30,847.63,858.46,842.1,855.61,697158300.0,3712116331.0,1.0721702534857505,0.9701127856431632,
93,2005-05-31,856.56,863.2,853.29,855.95,704782100.0,3601006687.0,1.0432738868545417,0.9713868671930781,
94,2005-06-01,855.21,857.66,836.04,837.53,790230200.0,4274074912.0,1.0801127616517658,0.9685408483379332,
95,2005-06-02,835.47,835.49,812.99,818.38,950865700.0,5220786229.0,0.9733859295472004,0.9732167689486935,
96,2005-06-03,816.55,823.86,807.97,818.03,793605600.0,4164754479.0,0.974102931001702,0.9798341859826909,
97,2005-06-06,816.73,839.15,807.78,839.0,900918500.0,4685006534.0,0.9094022731253417,0.9638537225825655,
98,2005-06-07,841.58,858.09,835.18,837.28,1306706800.0,7248577634.0,0.8989447988914475,0.9592318842966066,
99,2005-06-08,848.54,908.83,844.47,905.77,3290783900.0,17414544247.0,0.8510601635920575,0.7296126287574134,
100,2005-06-09,907.57,925.37,895.04,912.6,3314184000.0,17782386004.0,0.9284060356940701,0.7802440636023765,
101,2005-06-10,911.94,911.94,889.1,894.56,2239150200.0,12006754528.0,0.9426673980148977,0.8024783768604187,
102,2005-06-13,895.0,900.18,877.69,892.96,1562800200.0,7944060172.0,0.951352180630555,0.8090899374234646,
103,2005-06-14,895.39,905.42,882.86,883.54,1434357000.0,7692070462.0,0.9635814344760161,0.8213812829046253,
104,2005-06-15,881.21,881.25,865.14,866.83,1145405600.0,6272310250.0,0.9795323716861333,0.8228044483752629,
105,2005-06-16,866.66,879.49,861.83,879.24,1104968500.0,6115269193.0,0.9791617913834293,0.822347138239464,
106,2005-06-17,883.61,888.08,876.04,880.35,1496300900.0,8285455982.0,0.9614877852225407,0.8205923851486709,
107,2005-06-20,881.62,906.48,872.56,906.26,1899208200.0,10290889580.0,0.9858406559846028,0.8268538708869287,
108,2005-06-21,906.31,906.31,894.39,896.17,1277478400.0,6890936652.0,0.9555671100029121,0.8312361834914692,
109,2005-06-22,894.77,901.24,891.93,900.65,1047813400.0,5882401451.0,0.9242496267055367,0.8286874161683406,
110,2005-06-23,900.06,904.9,892.83,893.57,950930800.0,5465028353.0,0.8997998070804377,0.828662094940328,
111,2005-06-24,892.06,898.67,888.4,898.3,891873900.0,4732186046.0,0.8778028229901426,0.8323599448507749,
112,2005-06-27,904.21,920.65,904.21,916.04,1654540200.0,8903493734.0,0.8691865044416813,0.8365321418214454,
113,2005-06-28,913.48,913.48,901.21,903.72,1040221900.0,5536098456.0,0.8336533815907374,0.8069178246197061,
114,2005-06-29,906.75,907.57,898.08,898.9,1080674600.0,5751998008.0,0.7205500417396892,0.7304857586707407,
115,2005-06-30,897.1,897.1,876.88,878.69,1085547200.0,5597946269.0,0.616379990181097,0.5407369308591822,
116,2005-07-01,875.94,875.94,858.37,859.49,1009459697.0,5086726820.0,0.5230174204813661,0.40275905711090754,
117,2005-07-04,855.32,856.1,842.81,855.93,884027653.0,4026099534.0,0.9416153955560721,0.8347591972222719,
118,2005-07-05,853.68,856.74,845.36,849.68,799268838.0,4529674417.0,0.949394930823799,0.8845131530006313,
119,2005-07-06,850.25,854.45,838.61,842.56,689831392.0,3627265630.0,0.9490013391767913,0.9112409443050922,
120,2005-07-07,841.75,848.02,839.28,844.73,596246491.0,2901826588.0,0.983166525950359,0.9273328849363179,
121,2005-07-08,842.62,842.62,827.23,829.49,722100042.0,3447787083.0,0.9761618545875176,0.9450127646036611,
122,2005-07-11,837.86,850.66,822.52,824.1,843900554.0,4092653674.0,0.9311202387990685,0.9402127618726703,
123,2005-07-12,821.91,854.29,818.86,851.82,1498987066.0,7519245269.0,0.8784021590547608,0.9262061634764032,
124,2005-07-13,850.47,851.95,841.86,846.23,939884217.0,4674024437.0,0.8942546140914237,0.9255869393430773,
125,2005-07-14,844.94,856.1,843.18,849.59,936196801.0,4742557429.0,0.8891557104100611,0.9512088745164238,
126,2005-07-15,849.87,854.6,837.78,841.0,888956339.0,4203939701.0,0.8896100793407398,0.9494188088577076,
127,2005-07-18,839.22,840.01,829.68,833.0,850000637.0,3767754660.0,0.9104794947462287,0.9463326786545854,
